name,1.582_AEP,2_AEP,5_AEP,10_AEP,20_AEP,50_AEP,100_AEP,200_AEP,500_AEP,1000_AEP,2000_AEP
JC01,33.0,39.7,62.8,79.9,97.4,121.8,141.3,162.0,191.0,214.5,239.3
JC02,32.8,39.4,62.4,79.3,96.7,120.9,140.3,160.8,189.7,213.0,237.6
JC03,30.8,37.0,58.7,74.6,91.0,113.7,132.0,151.3,178.4,200.4,223.5
JC04,35.2,42.4,67.1,85.3,104.0,130.1,151.0,173.0,204.1,229.1,255.6
JC05,35.5,42.7,67.6,86.0,104.8,131.1,152.1,174.3,205.6,230.9,257.6
JC06,30.3,36.5,57.7,73.4,89.6,112.0,129.9,148.9,175.7,197.2,220.0
JC07,31.7,38.1,60.3,76.7,93.6,117.0,135.8,155.6,183.5,206.1,229.9
JC08,30.1,36.2,57.3,72.8,88.8,111.0,128.9,147.7,174.2,195.6,218.2
JC09,33.7,40.5,64.1,81.5,99.4,124.3,144.3,165.3,195.0,219.0,244.3
JC10,35.9,43.1,68.3,86.8,105.9,132.4,153.7,176.1,207.7,233.2,260.2
