name,1.582_AEP,2_AEP,5_AEP,10_AEP,20_AEP,50_AEP,100_AEP,200_AEP,500_AEP,1000_AEP,2000_AEP
JC01,93.3,109.8,165.0,204.2,243.4,296.6,338.5,381.9,442.0,489.8,539.7
JC02,92.6,109.1,163.9,202.7,241.7,294.6,336.1,379.2,439.0,486.4,535.9
JC03,87.1,102.6,154.1,190.7,227.3,277.1,316.2,356.7,412.9,457.5,504.1
JC04,99.6,117.3,176.3,218.1,260.0,316.9,361.5,407.9,472.2,523.2,576.5
JC05,100.4,118.2,177.6,219.7,262.0,319.3,364.3,411.1,475.8,527.2,580.9
JC06,85.8,101.0,151.7,187.7,223.8,272.7,311.2,351.1,406.4,450.4,496.2
JC07,89.6,105.5,158.5,196.1,233.8,285.0,325.2,366.9,424.7,470.6,518.5
JC08,85.1,100.1,150.5,186.2,222.0,270.5,308.7,348.3,403.1,446.7,492.1
JC09,95.2,112.1,168.5,208.4,248.5,302.8,345.5,389.9,451.3,500.0,550.9
JC10,101.4,119.4,179.4,222.0,264.7,322.6,368.0,415.2,480.7,532.6,586.8
