name,1.582_AEP,2_AEP,5_AEP,10_AEP,20_AEP,50_AEP,100_AEP,200_AEP,500_AEP,1000_AEP,2000_AEP
JC01,65.9,78.2,119.6,149.3,179.3,220.4,252.9,286.9,334.1,371.9,411.4
JC02,65.5,77.7,118.7,148.3,178.1,218.9,251.2,284.9,331.9,369.4,408.6
JC03,61.6,73.0,111.7,139.5,167.5,205.9,236.3,268.0,312.1,347.4,384.4
JC04,70.4,83.5,127.7,159.5,191.6,235.5,270.2,306.5,357.0,397.3,439.5
JC05,71.0,84.2,128.7,160.7,193.0,237.3,272.3,308.8,359.7,400.3,442.9
JC06,60.6,71.9,109.9,137.3,164.9,202.7,232.6,263.8,307.3,342.0,378.3
JC07,63.4,75.1,114.9,143.4,172.3,211.8,243.0,275.6,321.1,357.3,395.3
JC08,60.1,71.3,109.0,136.1,163.5,201.0,230.7,261.6,304.7,339.2,375.2
JC09,67.3,79.8,122.1,152.4,183.1,225.0,258.2,292.9,341.1,379.7,420.1
JC10,71.7,85.0,130.0,162.3,195.0,239.7,275.0,311.9,363.3,404.4,447.4
