name,1.582_AEP,2_AEP,5_AEP,10_AEP,20_AEP,50_AEP,100_AEP,200_AEP,500_AEP,1000_AEP,2000_AEP
JC01,19.0,23.2,37.7,48.6,60.0,76.1,89.1,102.9,122.6,138.6,155.7
JC02,18.9,23.0,37.4,48.3,59.6,75.5,88.5,102.2,121.8,137.7,154.6
JC03,17.8,21.6,35.2,45.4,56.1,71.1,83.2,96.1,114.5,129.5,145.4
JC04,20.3,24.7,40.3,52.0,64.1,81.3,95.2,109.9,131.0,148.1,166.3
JC05,20.5,24.9,40.6,52.4,64.6,81.9,95.9,110.8,132.0,149.2,167.6
JC06,17.5,21.3,34.7,44.7,55.2,69.9,81.9,94.6,112.7,127.5,143.2
JC07,18.3,22.2,36.2,46.7,57.7,73.1,85.6,98.9,117.8,133.2,149.6
JC08,17.4,21.1,34.4,44.4,54.7,69.4,81.2,93.9,111.8,126.4,142.0
JC09,19.4,23.6,38.5,49.7,61.3,77.7,90.9,105.1,125.2,141.5,159.0
JC10,20.7,25.2,41.0,52.9,65.3,82.7,96.9,111.9,133.3,150.8,169.3
