name,1.582_AEP,2_AEP,5_AEP,10_AEP,20_AEP,50_AEP,100_AEP,200_AEP,500_AEP,1000_AEP,2000_AEP
JC01,23.3,28.2,45.5,58.4,71.8,90.5,105.6,121.7,144.4,162.9,182.4
JC02,23.2,28.0,45.2,58.0,71.3,89.9,104.9,120.8,143.4,161.7,181.2
JC03,21.8,26.4,42.5,54.6,67.0,84.5,98.7,113.6,134.9,152.1,170.4
JC04,24.9,30.2,48.6,62.4,76.7,96.7,112.8,130.0,154.3,174.0,194.9
JC05,25.1,30.4,49.0,62.9,77.2,97.4,113.7,131.0,155.5,175.3,196.4
JC06,21.4,26.0,41.8,53.7,66.0,83.2,97.1,111.9,132.8,149.8,167.8
JC07,22.4,27.1,43.7,56.1,68.9,86.9,101.5,116.9,138.8,156.5,175.3
JC08,21.3,25.8,41.5,53.3,65.4,82.5,96.3,111.0,131.7,148.5,166.4
JC09,23.8,28.8,46.5,59.6,73.3,92.4,107.8,124.2,147.4,166.3,186.3
JC10,25.4,30.7,49.5,63.5,78.0,98.4,114.8,132.3,157.0,177.1,198.4
