name,1.582_AEP,2_AEP,5_AEP,10_AEP,20_AEP,50_AEP,100_AEP,200_AEP,500_AEP,1000_AEP,2000_AEP
JC01,40.4,48.4,75.8,95.9,116.4,144.9,167.6,191.4,225.0,252.0,280.4
JC02,40.1,48.0,75.3,95.2,115.6,143.9,166.4,190.1,223.4,250.2,278.5
JC03,37.7,45.2,70.8,89.6,108.8,135.3,156.5,178.8,210.2,235.4,261.9
JC04,43.1,51.7,81.0,102.4,124.4,154.7,179.0,204.5,240.3,269.2,299.5
JC05,43.5,52.1,81.6,103.2,125.3,155.9,180.4,206.1,242.2,271.2,301.8
JC06,37.1,44.5,69.7,88.2,107.1,133.2,154.1,176.0,206.9,231.7,257.8
JC07,38.8,46.5,72.8,92.1,111.9,139.2,161.0,183.9,216.2,242.1,269.4
JC08,36.8,44.1,69.1,87.5,106.2,132.1,152.8,174.6,205.2,229.8,255.7
JC09,41.2,49.4,77.4,97.9,118.9,147.9,171.1,195.4,229.7,257.2,286.3
JC10,43.9,52.6,82.4,104.3,126.6,157.5,182.2,208.2,244.6,274.0,304.9
