name,1.582_AEP,2_AEP,5_AEP,10_AEP,20_AEP,50_AEP,100_AEP,200_AEP,500_AEP,1000_AEP,2000_AEP
JC01,80.8,95.4,144.3,179.3,214.4,262.2,299.9,339.1,393.5,436.9,482.1
JC02,80.2,94.7,143.4,178.0,212.9,260.4,297.8,336.8,390.8,433.9,478.9
JC03,75.4,89.1,134.8,167.5,200.3,244.9,280.1,316.8,367.6,408.1,450.4
JC04,86.3,101.9,154.2,191.5,229.0,280.1,320.4,362.2,420.4,466.7,515.1
JC05,86.9,102.7,155.4,193.0,230.8,282.3,322.8,365.0,423.6,470.3,519.0
JC06,74.3,87.7,132.7,164.8,197.1,241.1,275.8,311.8,361.9,401.7,443.4
JC07,77.6,91.6,138.7,172.2,206.0,251.9,288.1,325.8,378.1,419.8,463.3
JC08,73.7,87.0,131.6,163.5,195.5,239.1,273.5,309.3,358.9,398.4,439.7
JC09,82.5,97.4,147.4,183.0,218.9,267.7,306.2,346.2,401.8,446.0,492.2
JC10,87.8,103.7,157.0,194.9,233.1,285.1,326.1,368.7,427.9,475.0,524.3
