name,1.582_AEP,2_AEP,5_AEP,10_AEP,20_AEP,50_AEP,100_AEP,200_AEP,500_AEP,1000_AEP,2000_AEP
JC01,114.2,133.9,199.2,245.2,291.0,352.9,401.3,451.4,520.6,575.4,632.4
JC02,113.4,133.0,197.8,243.5,289.0,350.4,398.5,448.3,517.0,571.4,628.0
JC03,106.7,125.1,186.1,229.0,271.8,329.6,374.8,421.7,486.3,537.5,590.7
JC04,122.0,143.1,212.8,261.9,310.8,376.9,428.7,482.2,556.1,614.6,675.5
JC05,123.0,144.2,214.4,263.9,313.2,379.8,432.0,485.9,560.4,619.3,680.7
JC06,105.0,123.1,183.2,225.4,267.5,324.5,369.0,415.1,478.7,529.0,581.5
JC07,109.7,128.7,191.4,235.5,279.6,339.0,385.6,433.7,500.2,552.8,607.6
JC08,104.2,122.1,181.7,223.6,265.4,321.8,366.0,411.7,474.8,524.7,576.7
JC09,116.6,136.7,203.4,250.3,297.0,360.2,409.7,460.8,531.5,587.4,645.6
JC10,124.2,145.6,216.6,266.6,316.4,383.7,436.4,490.9,566.1,625.6,687.6
