EventID,Duration,TimeStep,Region,Area,Increments
892,720,30,East Coast (North),100,2.47,4.34,6.4,3.68,3.06,0.72,0.17,0.91,4.52,2.43,7.72,5.38,4.73,5.95,5.26,4.82,7.45,5.33,6.21,5.85,3.69,3.85,4.2,0.86
893,720,30,East Coast (North),100,0.76,1.7,3.5,1.64,5.83,6.65,3.09,6.83,6.81,10.38,8.56,6.74,6.81,7.19,7.12,4.44,2.47,3.32,0.81,0.99,1.51,0.82,0.69,1.34
894,720,30,East Coast (North),100,2.15,2.15,2.23,2.45,3.06,4.21,4.1,6.24,4.95,4.63,5.14,6.01,6.32,5.94,5.32,5.02,4.34,5.39,3.79,3.93,4.25,3.99,2.78,1.61
895,720,30,East Coast (North),100,4,5.61,10.94,5.03,2.41,0.81,2.51,3.36,1.75,0.54,0.65,2.69,2.62,2.85,0.93,5.04,4.7,5.76,8.35,12.58,6.04,4.91,3.74,2.18
896,720,30,East Coast (North),100,2.26,3.68,3.52,5.09,5.23,6.7,7.86,5.08,3.13,4.4,4.25,5.32,5.31,4.99,5.4,4.84,3.39,4.18,2.48,3.21,2.42,3.95,1.59,1.72
897,720,30,East Coast (North),100,2.3,3.07,3.22,2.13,2.14,1.92,1.61,1.77,1.54,1.2,1.73,2.02,3.64,3.28,4.5,5.91,6.96,7.91,9.18,8.44,8.31,8.09,5.8,3.33
898,720,30,East Coast (North),100,2.82,5.14,5.87,5.49,2.77,3.48,3.69,3.49,5.76,2.72,3.32,4.73,3.5,5.93,4.45,3.6,3.33,3.33,1.58,1.3,2.2,6.91,8.14,6.45
899,720,30,East Coast (North),100,2.64,1.85,0.52,0.2,0.62,3.56,2.17,2.36,2.31,0.4,4.1,3.72,6.99,5.39,7.53,5.78,9.07,6.47,4.71,5.98,5.05,6.61,6.52,5.45
900,720,30,East Coast (North),100,2.25,3.83,4.2,2.85,4.2,3.29,5,3.91,3.45,2.22,2.51,3.86,3.75,5.09,4.29,3.41,3.1,3.01,2.79,4.49,7.39,7.83,7.86,5.42
901,720,30,East Coast (North),100,3.29,2.92,4.67,3.15,2.83,3.05,5.77,4.12,3.49,7.12,7.37,5.51,3.2,4.64,3.49,2.67,4.84,3.75,6.47,4.87,4.88,3.29,2.36,2.25
902,720,30,East Coast (North),200,1.9,3.53,5.42,3.1,3.21,0.99,0.48,0.83,4.17,1.97,6.1,4.07,4.69,7.45,5.21,4.99,7.54,5.97,7.27,6.5,4.45,4.33,4.71,1.12
903,720,30,East Coast (North),200,3.44,3.34,3.16,4.17,4.97,7.43,5.17,6.16,6.71,6.2,6.26,5.91,5.68,4.3,5.44,4.57,3.19,3.28,2.4,0.28,0.29,0.46,3.55,3.64
904,720,30,East Coast (North),200,2.66,2.57,2.38,2.64,3.57,3.61,4.45,4.85,4.69,4.55,5.63,4.81,3.84,4.56,4.82,5.05,5.66,5.35,5.52,4.01,4.25,4.17,3.56,2.8
905,720,30,East Coast (North),200,2.08,2.51,2.53,2.37,3.48,3.71,3.88,5.18,4.46,4.85,5.3,5.62,6.22,5.7,5.36,4.93,4.09,4.96,3.76,4.69,4.24,3.62,3.78,2.68
906,720,30,East Coast (North),200,4.59,2.4,1.69,1.14,1.24,1.97,2.43,2.03,2.28,2.41,3.46,3.36,4.54,3.47,4.75,6.15,3.79,5.46,7.3,8.49,3.26,9.26,9.02,5.51
907,720,30,East Coast (North),200,1.65,4.23,2.76,5.73,7.24,4.46,7.53,7.05,9.99,7.51,5.73,5.67,5.75,5.49,3.83,2.26,3.19,1.32,1.47,2.19,0.96,1.07,1.85,1.07
